name,characteristics,cost_in_game,image
Dream,Runeword: Io Jah Pul / helm/shield / Holy Shock aura,13000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Dragon,Runeword: Sur Lo Sol / armor/shield / Holy Fire + stats,7500,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Hand of Justice,Runeword: Sur Cham Amn Lo / weapon / Holy Fire + ignite,11000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Pride,Runeword: Cham Sur Io Lo / polearm / Concentration aura,8000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Doom,Runeword: Hel Ohm Um Lo Cham / weapon / Holy Freeze aura,6000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Exile,Runeword: Vex Ohm Ist Dol / paladin shield / Defiance + repair,3500,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Death,Runeword: Hel El Vex Ort Gul / weapon / chance to cast + CB,1200,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Bramble,Runeword: Ral Ohm Sur Eth / armor / Thorns aura + life,6000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Oath,Runeword: Shael Pul Mal Lum / weapon / Heart of Wolverine charges,1000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Crescent Moon,Runeword: Shael Um Tir / weapon / -enemy lightning res,600,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Duress,Runeword: Shael Um Thul / armor / open wounds + CB,600,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Treachery,Runeword: Shael Thul Lem / armor / Fade + Venom,200,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Lawbringer,Runeword: Amn Lem Ko / weapon / Sanctuary aura + decrepify,250,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Voice of Reason,Runeword: Lem Ko El Eld / weapon / cold + magic damage,250,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Wealth,Runeword: Lem Ko Tir / armor / big magic find + gold,200,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Lionheart,Runeword: Hel Lum Fal / armor / cheap stats armor,150,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Smoke,Runeword: Nef Lum / armor / +50 all resist,100,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Stealth,Runeword: Tal Eth / armor / faster cast + run leveling,50,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Lore,Runeword: Ort Sol / helm / +1 skills + energy,80,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Rhyme,Runeword: Shael Eth / shield / cannot be frozen + MF,100,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
